seq1	4p12.1	(45.6,69.2)
seq8522	11q9.4	(71.4,90.9)
seq8523	21q11.15	(66.3,34.2)
seq8524	8q3.12	(74.3,23.2)
seq8525	1p12.13	(38.0,46.7)
seq8526	7q1.2	(86.3,77.7)
seq8527	5p10.13	(93.2,16.3)
seq8528	2q8.6	(56.7,34.0)
seq8529	13p5.10	(98.2,79.4)
seq8530	11p7.12	(69.0,55.3)
seq8531	14p7.5	(78.3,70.8)
seq8532	13q1.3	(69.7,82.9)
seq8533	4q5.1	(47.8,52.1)
seq8534	6p6.9	(66.7,66.2)
seq8535	10q11.5	(52.4,41.1)
seq8536	11p7.8	(15.9,34.7)
seq8537	5p4.15	(26.3,36.6)
seq8538	13q6.15	(16.1,78.2)
seq8539	9q13.8	(40.8,97.8)
seq8540	18q14.10	(81.6,69.5)
seq8541	17p15.4	(69.0,9.1)
seq8542	4p10.7	(14.6,0.9)
seq8543	20p8.9	(38.5,51.8)
seq8544	15q5.12	(45.0,36.9)
seq8545	20p10.14	(18.3,36.2)
seq8546	13p14.5	(86.4,63.2)
seq8547	2p8.12	(56.1,22.2)
seq8548	13p11.11	(86.8,9.1)
seq8549	4q15.12	(12.9,80.2)
seq8550	22p4.12	(1.3,47.8)
seq8551	17p8.2	(39.4,59.8)
seq8552	10p3.7	(7.5,12.6)
seq8553	14p5.1	(7.1,24.1)
seq8554	18p4.4	(69.7,34.0)
seq8555	20q3.5	(53.0,4.8)
seq8556	6p12.15	(37.4,62.8)
seq8557	16q5.1	(43.3,75.1)
seq8558	12p10.15	(11.3,48.6)
seq8559	3q7.3	(51.7,52.3)
seq8560	7q10.1	(35.8,27.1)
seq8561	7q8.8	(30.9,96.3)
seq8562	11p12.15	(33.5,11.5)
seq8563	11p2.6	(79.9,4.5)
seq8564	16p9.11	(11.3,55.7)
seq8565	8p11.3	(80.9,1.0)
seq8566	18p7.3	(16.2,26.6)
seq8567	10p13.6	(65.9,20.8)
seq8568	14q14.1	(72.2,8.3)
seq8569	20p14.2	(50.6,21.6)
seq8570	2q9.15	(62.5,99.9)
seq8571	6p5.4	(64.0,47.9)
seq8572	4p11.11	(0.4,88.4)
seq8573	19q8.7	(51.3,58.3)
seq8574	1p1.15	(82.2,85.8)
seq8575	6p7.12	(68.6,6.7)
seq8576	9q2.9	(55.3,45.2)
seq8577	17p3.11	(87.4,64.2)
seq8578	16p11.4	(16.0,1.6)
seq8579	12q2.14	(20.5,36.2)
seq8580	2p7.5	(6.0,73.3)
seq8581	14q3.6	(88.6,81.0)
seq8582	5p15.2	(81.9,16.7)
seq8583	15q1.12	(95.9,50.9)
seq8584	6p5.2	(38.5,9.1)
seq8585	7p13.2	(6.6,85.6)
seq8586	8p3.12	(12.0,40.8)
seq8587	18p14.4	(28.5,88.5)
seq8588	17p2.15	(68.9,68.2)
seq8589	12q10.14	(12.6,93.9)
seq8590	18p3.9	(82.3,20.9)
seq8591	5p15.2	(44.6,71.9)
seq8592	5q6.13	(95.1,21.6)
seq8593	8p11.8	(63.2,60.6)
seq8594	16p1.7	(70.9,10.5)
seq8595	6q10.13	(75.3,13.7)
seq8596	10p2.9	(0.1,17.4)
seq8597	3q11.15	(60.3,38.4)
seq8598	10q8.4	(59.3,53.7)
seq8599	2q2.14	(31.5,16.1)
seq8600	22q12.8	(6.3,9.2)
seq8601	13p3.3	(55.8,91.4)
seq8602	4q4.5	(62.0,50.3)
seq8603	17p1.14	(30.0,66.3)
seq8604	1q2.9	(38.0,46.1)
seq8605	3p8.6	(4.9,47.4)
seq8606	7q15.1	(22.1,92.0)
seq8607	2p13.7	(30.9,71.9)
seq8608	15p11.7	(45.5,84.8)
seq8609	1p10.1	(11.3,22.0)
seq8610	12q9.9	(25.2,70.6)
seq8611	6q14.4	(4.2,81.5)
seq8612	3p4.6	(8.5,62.4)
seq8613	12q12.7	(49.1,69.4)
seq8614	18p13.3	(42.2,46.6)
seq8615	13q11.10	(51.9,72.3)
seq8616	2p6.10	(55.6,1.3)
seq8617	20p5.3	(77.9,56.1)
seq8618	6p7.3	(93.0,22.6)
seq8619	18p8.4	(18.5,48.1)
seq8620	10q13.6	(97.5,35.3)
seq8621	19p7.12	(67.6,69.8)
seq8622	13p14.10	(97.8,67.5)
seq8623	12q5.11	(54.2,67.5)
seq8624	5p4.6	(63.8,2.8)
seq8625	21q14.6	(43.2,87.2)
seq8626	1q1.10	(53.4,96.7)
seq8627	9q7.1	(10.3,10.4)
seq8628	14q13.15	(8.8,99.0)
seq8629	5q5.7	(30.9,71.8)
seq8630	7q2.13	(99.2,13.8)
seq8631	4p2.7	(18.2,15.0)
seq8632	1q4.2	(25.6,90.4)
seq8633	16p3.11	(95.3,51.3)
seq8634	21q7.14	(26.8,80.4)
seq8635	11q4.8	(23.3,61.7)
seq8636	5p8.12	(0.5,8.4)
seq8637	13p13.5	(50.4,39.3)
seq8638	14q9.1	(28.4,4.8)
seq8639	9q13.5	(77.4,45.3)
seq8640	15q5.8	(5.6,38.9)
seq8641	1p6.15	(30.2,44.8)
seq8642	8p14.4	(87.5,17.7)
seq8643	22p12.4	(35.8,75.5)
seq8644	15p15.4	(76.2,75.1)
seq8645	11q5.13	(32.3,93.5)
seq8646	14p6.15	(31.7,59.9)
seq8647	12q3.14	(61.6,93.3)
seq8648	19q6.11	(18.8,29.8)
seq8649	14q10.1	(39.5,19.0)
seq8650	11p1.9	(27.9,58.1)
seq8651	8p4.2	(31.6,5.3)
seq8652	13q4.2	(73.1,91.9)
seq8653	18q11.4	(79.4,23.5)
seq8654	21p2.11	(86.0,17.0)
seq8655	21q8.3	(28.1,55.0)
seq8656	15q13.9	(4.6,8.9)
seq8657	16p11.3	(63.1,59.8)
seq8658	3p10.1	(44.7,5.9)
seq8659	8q13.13	(10.3,67.0)
seq8660	2p7.10	(96.2,27.0)
seq8661	19p14.15	(48.3,0.2)
seq8662	9q7.11	(30.1,12.6)
seq8663	5q13.2	(50.5,88.6)
seq8664	11q3.4	(80.0,70.3)
seq8665	8p8.9	(27.0,77.9)
seq8666	19q4.2	(85.5,19.2)
seq8667	21p10.1	(64.5,18.9)
seq8668	18q14.3	(48.0,99.5)
seq8669	18p13.6	(73.0,57.2)
seq8670	18q12.9	(85.6,33.4)
seq8671	22p11.6	(27.6,67.1)
seq8672	20p4.6	(84.9,88.5)
seq8673	19p15.9	(39.7,54.6)
seq8674	10p15.9	(69.6,19.7)
seq8675	11q8.7	(69.8,45.3)
seq8676	10q1.6	(40.9,60.8)
seq8677	3q2.3	(97.8,56.3)
seq8678	14q13.12	(51.4,67.6)
seq8679	4q9.13	(49.7,27.5)
seq8680	2p12.5	(36.4,42.0)
seq8681	4p8.13	(88.0,5.2)
seq8682	21q13.8	(75.3,71.0)
seq8683	8q15.6	(94.4,94.1)
seq8684	20q14.11	(71.9,62.0)
seq8685	10p1.8	(35.4,59.6)
seq8686	1p2.13	(35.1,70.1)
seq8687	13q11.9	(39.8,65.3)
seq8688	20p11.8	(11.3,13.0)
seq8689	10p1.14	(46.0,48.0)
seq8690	10q1.8	(21.4,38.8)
seq8691	16q10.4	(32.7,61.3)
seq8692	19p2.12	(31.3,80.8)
seq8693	20q10.11	(29.0,94.1)
seq8694	20q6.7	(39.8,93.7)
seq8695	17p5.10	(39.0,52.3)
seq8696	12p4.6	(40.0,20.1)
seq8697	7p5.15	(77.3,51.6)
seq8698	20q1.10	(25.3,32.4)
seq8699	5p4.8	(37.8,19.3)
seq8700	15q3.2	(60.9,27.7)
seq8701	8q2.9	(11.0,25.0)
seq8702	9p3.12	(57.4,12.1)
seq8703	4q12.3	(4.4,86.3)
seq8704	17p8.12	(74.0,14.6)
seq8705	7q15.7	(89.1,66.9)
seq8706	8p8.11	(78.6,76.7)
seq8707	9q9.5	(60.0,70.9)
seq8708	16p3.7	(39.2,70.2)
seq8709	19p3.9	(46.9,43.9)
seq8710	19p12.3	(92.0,78.7)
seq8711	7q4.15	(92.5,13.2)
seq8712	1q11.8	(35.9,10.3)
seq8713	6p14.7	(67.7,69.5)
seq8714	22q8.5	(87.0,90.0)
seq8715	13p1.4	(48.2,17.0)
seq8716	10p11.10	(38.0,43.1)
seq8717	15q7.2	(51.5,97.1)
seq8718	12p15.12	(54.6,8.0)
seq8719	10q8.14	(61.4,69.6)
seq8720	17p1.9	(82.5,82.7)
seq8721	21p14.9	(16.7,74.1)
seq8722	12p14.15	(66.8,82.7)
seq8723	15q9.8	(16.1,80.0)
seq8724	7q1.6	(41.4,89.3)
seq8725	13p13.3	(34.2,6.6)
seq8726	6p14.2	(66.1,42.5)
seq8727	20p13.13	(71.5,52.7)
seq8728	15p10.1	(4.5,77.5)
seq8729	9p8.7	(50.8,85.4)
seq8730	20q9.10	(63.6,93.0)
seq8731	10q10.5	(25.6,1.2)
seq8732	3q5.6	(28.1,15.4)
seq8733	19q13.14	(94.2,81.0)
seq8734	10q11.8	(29.2,30.8)
seq8735	21p2.6	(78.6,76.4)
seq8736	12q5.8	(82.7,47.9)
seq8737	11q10.12	(18.9,1.8)
seq8738	1p2.13	(75.5,57.8)
seq8739	3q11.2	(23.2,24.1)
seq8740	10p7.12	(2.9,83.6)
seq8741	17p10.9	(82.4,4.4)
seq8742	6q4.5	(8.6,22.7)
seq8743	8q14.13	(33.1,4.7)
seq8744	12q3.13	(62.8,5.1)
seq8745	20p7.9	(65.3,78.0)
seq8746	14q5.4	(70.0,50.6)
seq8747	6q12.4	(49.3,29.2)
seq8748	18p11.7	(96.4,92.8)
seq8749	8q13.11	(78.6,21.3)
seq8750	19p3.2	(44.5,2.6)
seq8751	19q11.5	(6.1,18.2)
seq8752	21q1.11	(63.5,46.8)
seq8753	14p9.9	(24.7,80.8)
seq8754	13q1.5	(12.2,40.7)
seq8755	8p7.2	(24.2,53.0)
seq8756	5p15.8	(93.2,6.8)
seq8757	14p8.6	(13.4,31.6)
seq8758	20p5.10	(30.9,7.0)
seq8759	4q5.13	(92.6,70.1)
seq8760	11p8.13	(41.2,80.1)
seq8761	12q1.5	(76.6,49.9)
seq8762	13p12.5	(0.1,0.5)
seq8763	3q12.9	(11.4,47.1)
seq8764	6q15.2	(65.6,4.7)
seq8765	6p5.6	(76.1,81.8)
seq8766	13p6.12	(90.4,94.9)
seq8767	7p3.1	(30.0,17.2)
seq8768	12q7.15	(36.5,75.6)
seq8769	22q1.3	(75.5,15.5)
seq8770	12q1.1	(3.1,10.8)
seq8771	3q13.9	(64.7,63.6)
seq8772	4q12.11	(3.0,35.8)
seq8773	12p14.4	(14.2,78.2)
seq8774	9q6.10	(31.9,42.9)
seq8775	22p14.11	(14.2,87.3)
seq8776	18p10.9	(53.4,76.8)
seq8777	6q12.14	(77.0,30.1)
seq8778	14p9.1	(18.0,75.2)
seq8779	7q13.2	(79.0,61.8)
seq8780	13p14.2	(35.2,6.7)
seq8781	6q4.12	(88.1,45.8)
seq8782	8p13.11	(6.2,42.8)
seq8783	18q3.11	(39.9,92.1)
seq8784	11p9.15	(21.6,11.1)
seq8785	15q14.10	(40.2,13.3)
seq8786	22q14.5	(27.4,36.4)
seq8787	22q11.11	(7.2,59.4)
seq8788	2q5.4	(0.8,29.1)
seq8789	2p11.8	(25.9,99.7)
seq8790	20q9.4	(58.8,50.7)
seq8791	13q2.9	(49.8,56.3)
seq8792	3q6.2	(8.2,64.8)
seq8793	16q10.8	(36.5,8.8)
seq8794	4p13.11	(17.5,21.7)
seq8795	9q10.8	(77.7,14.5)
seq8796	4p13.4	(59.8,96.5)
seq8797	12p2.8	(22.6,69.5)
seq8798	4p12.7	(68.8,61.4)
seq8799	20q10.2	(55.6,98.1)
seq8800	5q12.11	(38.4,2.7)
seq8801	1q6.4	(26.9,61.2)
seq8802	5q2.10	(9.8,35.6)
seq8803	4p7.15	(68.3,19.8)
seq8804	22q12.3	(73.5,71.9)
seq8805	18p9.9	(77.9,57.9)
seq8806	3q1.2	(44.6,15.8)
seq8807	19p8.15	(57.8,56.6)
seq8808	15q14.6	(54.7,13.9)
seq8809	19p15.14	(57.3,98.9)
seq8810	3q14.14	(24.3,18.7)
seq8811	17q10.2	(0.1,80.9)
seq8812	17p6.6	(46.0,5.5)
seq8813	14p1.10	(37.0,0.6)
seq8814	6q14.1	(38.3,80.0)
seq8815	8q12.14	(24.2,75.6)
seq8816	15p12.12	(31.9,85.2)
seq8817	18q15.1	(60.4,33.8)
seq8818	12q14.2	(65.8,61.7)
seq8819	10q5.10	(89.4,76.0)
seq8820	14p1.1	(17.3,11.2)
seq8821	4q14.6	(89.6,66.5)
seq8822	1p8.13	(2.7,44.6)
seq8823	4p3.9	(56.3,83.5)
seq8824	5q7.11	(71.0,6.7)
seq8825	6q15.2	(93.4,18.2)
seq8826	4q7.12	(48.6,48.5)
seq8827	13p2.11	(54.8,66.4)
seq8828	22p11.4	(76.3,95.7)
seq8829	10p7.12	(40.3,0.9)
seq8830	15p2.5	(38.1,43.4)
seq8831	10p3.2	(96.8,18.5)
seq8832	15q9.11	(85.9,90.8)
seq8833	11q2.13	(7.1,31.5)
seq8834	7p2.6	(83.0,51.2)
seq8835	20p11.8	(88.9,98.1)
seq8836	18p2.13	(91.2,77.3)
seq8837	7q1.9	(71.5,50.9)
seq8838	14q1.15	(26.7,8.4)
seq8839	17p8.10	(18.3,32.9)
seq8840	14q8.4	(75.2,9.2)
seq8841	20q6.13	(59.7,57.5)
seq8842	17p13.8	(7.9,83.3)
seq8843	15q8.9	(75.4,60.4)
seq8844	4q9.4	(34.6,91.6)
seq8845	8q2.10	(71.4,81.6)
seq8846	16p11.15	(2.2,78.1)
seq8847	11p3.15	(56.3,73.7)
seq8848	11p11.6	(14.5,56.4)
seq8849	13q6.6	(10.3,37.7)
seq8850	4q11.15	(39.5,13.8)
seq8851	15q5.15	(41.3,5.4)
seq8852	6p7.6	(47.4,73.3)
seq8853	1p2.3	(7.7,55.9)
seq8854	16q10.3	(22.0,8.0)
seq8855	20p13.14	(71.1,90.3)
seq8856	16q7.12	(51.8,44.0)
seq8857	15p13.13	(28.6,76.0)
seq8858	6q8.4	(34.1,5.6)
seq8859	5p15.15	(4.1,94.0)
seq8860	16p4.14	(38.3,42.8)
seq8861	21p11.15	(37.2,25.5)
seq8862	21q9.12	(7.7,99.8)
seq8863	15q10.3	(4.0,57.6)
seq8864	4q13.2	(61.7,15.2)
seq8865	7q5.13	(78.0,58.6)
seq8866	15p8.12	(92.4,95.6)
seq8867	20q8.7	(54.5,83.0)
seq8868	5p4.11	(17.3,68.1)
seq8869	19p4.1	(30.7,78.3)
seq8870	17p3.11	(57.7,62.1)
seq8871	20q15.7	(85.7,24.0)
seq8872	7p14.11	(14.2,7.7)
seq8873	7p3.13	(50.2,73.8)
seq8874	22p7.14	(97.0,53.5)
seq8875	15p13.2	(41.8,17.5)
seq8876	9q14.14	(75.2,18.0)
seq8877	2q7.15	(90.3,38.6)
seq8878	12q9.1	(14.8,67.2)
seq8879	15p12.2	(28.5,62.6)
seq8880	18q2.3	(73.8,43.2)
seq8881	1p9.13	(78.0,97.0)
seq8882	9q9.9	(79.0,0.6)
seq8883	1p12.5	(23.0,22.0)
seq8884	4q9.14	(96.5,97.6)
seq8885	10q14.3	(40.8,27.6)
seq8886	16p4.3	(59.5,78.4)
seq8887	18p13.7	(36.9,92.2)
seq8888	16q3.6	(73.5,66.6)
seq8889	7p3.8	(76.7,12.2)
seq8890	15q13.15	(84.3,66.4)
seq8891	19q3.8	(22.8,46.8)
seq8892	6q6.14	(8.7,83.6)
seq8893	17q1.5	(24.6,36.8)
seq8894	20q14.6	(31.7,55.1)
seq8895	19q14.5	(54.0,17.2)
seq8896	8p9.1	(99.6,92.6)
seq8897	8q10.14	(5.2,28.4)
seq8898	8p10.13	(60.1,97.2)
seq8899	8q5.3	(54.8,69.0)
seq8900	4p2.12	(87.3,56.2)
seq8901	7q14.2	(8.1,43.5)
seq8902	19p7.1	(64.1,70.7)
seq8903	15q13.12	(70.1,61.8)
seq8904	7q11.12	(54.6,38.2)
seq8905	7p4.1	(40.6,72.5)
seq8906	2p2.4	(3.5,44.8)
seq8907	8p15.15	(74.1,27.6)
seq8908	18q1.13	(53.1,72.2)
seq8909	18p7.10	(70.4,71.0)
seq8910	22p12.14	(94.6,91.2)
seq8911	16q12.11	(22.3,75.3)
seq8912	14p7.2	(15.3,71.4)
seq8913	9q14.3	(93.0,25.6)
seq8914	17q6.9	(75.7,64.5)
seq8915	6p13.3	(73.1,3.1)
seq8916	7q14.14	(55.1,20.7)
seq8917	20p6.2	(39.9,81.6)
seq8918	15p2.14	(94.9,81.5)
seq8919	15p2.15	(92.2,46.9)
seq8920	9p10.6	(12.8,88.3)
seq8921	7p10.5	(96.1,92.6)
seq8922	7p8.9	(86.5,63.1)
seq8923	6q10.10	(14.0,31.8)
seq8924	19p7.14	(87.9,75.1)
seq8925	10q5.13	(17.8,65.9)
seq8926	16p11.15	(2.8,32.9)
seq8927	9q4.1	(7.8,18.3)
seq8928	20q1.9	(76.4,86.9)
seq8929	22p12.1	(48.2,7.9)
seq8930	9p2.5	(99.6,37.0)
seq8931	14q11.8	(57.9,8.6)
seq8932	21q5.11	(60.1,49.6)
seq8933	15q11.12	(43.7,22.7)
seq8934	20p15.8	(88.5,56.5)
seq8935	13p3.13	(52.3,61.5)
seq8936	4p6.1	(10.7,27.7)
seq8937	17q3.11	(74.3,1.4)
seq8938	21p15.1	(41.9,24.5)
seq8939	3q1.12	(62.0,51.2)
seq8940	11p2.4	(7.1,43.3)
seq8941	2p2.14	(10.2,93.1)
seq8942	12q6.15	(29.4,91.3)
seq8943	18q8.3	(87.4,63.3)
seq8944	4p3.14	(77.3,72.6)
seq8945	6p4.6	(55.7,54.4)
seq8946	7q8.7	(85.8,4.0)
seq8947	5q5.11	(52.6,83.5)
seq8948	3q1.3	(40.2,61.0)
seq8949	15p5.13	(67.3,79.1)
seq8950	14q7.7	(72.1,57.9)
seq8951	13q10.8	(40.9,54.5)
seq8952	20p5.4	(0.5,48.4)
seq8953	5q4.6	(69.2,37.2)
seq8954	1q4.12	(95.3,30.6)
seq8955	17q6.8	(90.3,33.0)
seq8956	8q12.8	(32.8,65.6)
seq8957	16p12.6	(47.1,97.1)
seq8958	18p11.13	(85.0,17.9)
seq8959	3p10.8	(30.7,38.8)
seq8960	19q5.15	(31.5,59.6)
seq8961	17q3.13	(56.5,39.7)
seq8962	7q13.13	(93.7,43.1)
seq8963	1p3.12	(29.0,9.7)
seq8964	4p5.15	(95.4,48.1)
seq8965	19q5.2	(37.3,89.7)
seq8966	21p8.11	(97.8,85.3)
seq8967	10q6.8	(37.0,10.5)
seq8968	5p10.14	(14.6,48.5)
seq8969	18p12.3	(77.2,52.5)
seq8970	19q1.10	(5.6,61.6)
seq8971	3q12.3	(89.0,54.5)
seq8972	4q1.3	(51.4,69.0)
seq8973	11q7.10	(35.8,46.1)
seq8974	5p8.9	(41.0,36.5)
seq8975	18q5.14	(28.9,9.1)
seq8976	7q9.9	(99.9,98.5)
seq8977	18p10.5	(23.4,0.3)
seq8978	3p7.5	(25.5,45.2)
seq8979	10p5.4	(72.6,31.9)
seq8980	2q12.15	(94.3,58.3)
seq8981	10p13.4	(88.3,69.0)
seq8982	3p12.7	(71.7,53.1)
seq8983	17q10.5	(78.0,24.6)
seq8984	8q6.12	(12.6,97.6)
seq8985	14q6.3	(16.8,89.8)
seq8986	16p9.6	(95.7,56.9)
seq8987	18p9.9	(67.9,79.1)
seq8988	3q7.12	(88.0,7.3)
seq8989	20p5.4	(72.0,82.4)
seq8990	17p9.5	(33.1,95.3)
seq8991	2q11.10	(92.6,63.5)
seq8992	5q13.8	(36.1,79.2)
seq8993	4q2.5	(13.2,42.9)
seq8994	1q14.1	(67.7,44.2)
seq8995	10q10.7	(1.5,97.2)
seq8996	7p13.1	(92.6,21.6)
seq8997	12q4.1	(51.2,86.2)
seq8998	14p7.15	(65.0,18.8)
seq8999	12p13.10	(53.2,95.0)
seq9000	19q8.1	(12.9,56.6)
seq9001	18q8.15	(31.4,76.4)
seq9002	6p3.8	(65.2,71.6)
seq9003	13p5.5	(41.9,79.3)
seq9004	19p11.4	(37.7,94.9)
seq9005	20q15.11	(83.9,84.3)
seq9006	16q10.13	(88.5,37.2)
seq9007	10q2.3	(59.8,68.4)
seq9008	8q7.8	(3.5,63.4)
seq9009	10q3.6	(57.5,74.5)
seq9010	13q9.1	(95.4,13.2)
seq9011	14q11.4	(49.7,47.1)
seq9012	18q6.9	(64.4,87.5)
seq9013	2p13.14	(36.2,55.5)
seq9014	17p11.4	(5.6,62.1)
seq9015	10p7.12	(36.7,20.1)
seq9016	4q10.5	(40.2,99.8)
seq9017	10q8.9	(89.5,57.3)
seq9018	20q9.4	(32.3,65.8)
seq9019	1q12.9	(50.2,25.2)
seq9020	10p13.8	(92.0,29.9)
seq9021	11q8.14	(3.7,40.3)
seq9022	9p10.7	(91.4,94.1)
seq9023	21p4.9	(41.2,55.2)
seq9024	1p14.10	(23.2,0.4)
seq9025	17q1.8	(65.5,21.2)
seq9026	19p7.9	(18.5,85.9)
seq9027	9q9.7	(2.5,60.0)
seq9028	10p13.13	(26.4,86.8)
seq9029	20q14.11	(32.2,38.4)
seq9030	4q5.11	(54.8,18.1)
seq9031	9q9.9	(28.9,16.6)
seq9032	16p4.15	(60.6,78.4)
seq9033	13p8.7	(74.7,17.3)
seq9034	5p3.10	(34.9,27.3)
seq9035	5q13.7	(50.5,28.1)
seq9036	3p15.9	(87.1,56.7)
seq9037	20p2.4	(47.9,25.9)
seq9038	13p4.6	(35.5,7.3)
seq9039	2q2.10	(42.4,81.8)
seq9040	7q12.4	(88.6,88.3)
seq9041	20p12.7	(70.7,99.4)
seq9042	9q7.10	(99.9,54.8)
seq9043	14q13.12	(43.1,52.4)
seq9044	19p1.9	(64.8,8.7)
seq9045	5p10.15	(65.7,45.5)
seq9046	22p11.11	(56.1,1.1)
seq9047	17q3.1	(49.2,26.3)
seq9048	1q15.15	(5.6,20.8)
seq9049	10q6.11	(50.1,61.4)
seq9050	13q6.5	(56.7,7.1)
seq9051	18q14.4	(43.3,53.9)
seq9052	15q12.3	(13.5,38.1)
seq9053	6p5.4	(17.5,89.7)
seq9054	1q3.13	(15.4,46.1)
seq9055	20q6.7	(20.7,7.6)
seq9056	14p12.2	(28.9,85.3)
seq9057	21q3.15	(29.7,18.5)
seq9058	14q11.13	(59.6,84.7)
seq9059	22p15.9	(4.0,87.8)
seq9060	13p2.3	(1.9,39.0)
seq9061	4p12.13	(34.3,58.8)
seq9062	6p12.11	(81.9,68.6)
seq9063	3q8.3	(63.5,65.5)
seq9064	19q6.2	(96.2,3.9)
seq9065	15q3.1	(95.9,9.3)
seq9066	5p8.3	(99.1,13.3)
seq9067	9p6.11	(92.6,73.7)
seq9068	19p4.6	(84.3,58.0)
seq9069	9q4.1	(64.9,90.8)
seq9070	5p6.7	(72.5,39.8)
seq9071	9q4.14	(75.1,48.0)
seq9072	6q9.4	(21.7,9.3)
seq9073	12p5.4	(5.0,80.3)
seq9074	7q9.6	(68.0,27.1)
seq9075	10p15.3	(67.3,33.9)
seq9076	9q10.3	(4.6,6.1)
seq9077	15q1.5	(73.9,26.6)
seq9078	21p15.8	(0.8,35.5)
seq9079	7p11.1	(66.0,7.4)
seq9080	13p15.3	(73.1,1.3)
seq9081	19p7.2	(6.7,33.0)
seq9082	15p7.6	(99.6,57.3)
seq9083	17p12.7	(95.3,93.8)
seq9084	21p3.3	(46.2,90.3)
seq9085	1p3.4	(56.3,6.5)
seq9086	4p12.11	(15.3,92.2)
seq9087	21q14.13	(15.2,37.3)
seq9088	19q3.6	(22.4,42.0)
seq9089	11p14.15	(70.6,87.8)
seq9090	12p8.7	(6.7,80.8)
seq9091	11p13.5	(22.3,30.2)
seq9092	13q15.6	(78.5,66.7)
seq9093	1q2.8	(24.1,80.4)
seq9094	1p15.2	(96.3,26.1)
seq9095	20q1.13	(30.5,69.7)
seq9096	8p6.15	(54.7,80.5)
seq9097	9p11.5	(77.4,29.4)
seq9098	17p9.8	(11.4,48.4)
seq9099	8q9.14	(36.0,52.6)
seq9100	4p1.13	(80.5,35.7)
seq9101	11p4.2	(32.2,59.7)
seq9102	16p5.12	(81.7,51.7)
seq9103	13q6.13	(91.8,9.7)
seq9104	9p8.14	(80.2,25.6)
seq9105	19p12.7	(36.1,50.0)
seq9106	18q7.13	(74.7,42.8)
seq9107	21q8.12	(4.2,95.0)
seq9108	14p11.13	(35.4,44.9)
seq9109	7p12.12	(72.2,42.3)
seq9110	18q2.4	(65.0,57.6)
seq9111	2q14.15	(12.5,42.2)
seq9112	6q11.5	(98.1,9.9)
seq9113	5p10.12	(96.5,83.4)
seq9114	7q5.15	(32.0,77.3)
seq9115	18p13.1	(1.7,29.8)
seq9116	13p15.10	(41.6,24.2)
seq9117	22q5.6	(45.2,15.8)
seq9118	15p2.8	(35.1,12.6)
seq9119	18p13.1	(8.1,60.8)
seq9120	5q6.14	(98.7,57.0)
seq9121	21q4.12	(51.7,56.6)
seq9122	10p14.3	(28.0,64.0)
seq9123	5p9.13	(25.8,62.6)
seq9124	20q2.12	(81.1,5.9)
seq9125	9p6.1	(96.3,49.8)
seq9126	14p5.15	(21.8,70.7)
seq9127	9p12.8	(15.2,32.7)
seq9128	14q12.8	(96.5,47.1)
seq9129	14q9.12	(66.8,77.6)
seq9130	8q11.1	(26.8,37.1)
seq9131	20q13.10	(86.3,37.6)
seq9132	2p13.2	(4.5,43.0)
seq9133	17p10.9	(13.0,2.7)
seq9134	10q9.15	(10.0,50.1)
seq9135	2q3.1	(9.3,21.7)
seq9136	12p12.11	(84.1,72.1)
seq9137	17q10.7	(55.6,41.8)
seq9138	3q12.14	(38.7,56.8)
seq9139	18q8.2	(90.4,53.5)
seq9140	9p3.10	(34.2,92.8)
seq9141	12p9.15	(32.9,33.8)
seq9142	20p9.2	(74.8,31.9)
seq9143	7p7.5	(77.7,24.6)
seq9144	6p7.5	(24.5,25.8)
seq9145	6q15.11	(54.5,92.2)
seq9146	20p6.7	(81.6,2.6)
seq9147	15q7.13	(43.2,71.4)
seq9148	14p11.2	(71.0,79.0)
seq9149	7p10.4	(22.3,28.9)
seq9150	18p8.8	(72.9,46.6)
seq9151	6q9.2	(65.9,87.8)
seq9152	1q7.12	(94.1,76.4)
seq9153	20p5.9	(31.6,7.4)
seq9154	5q6.11	(53.2,56.9)
seq9155	16q13.4	(6.7,98.3)
seq9156	15p2.9	(52.3,26.3)
seq9157	13q6.12	(87.7,41.3)
seq9158	7q13.3	(6.2,1.8)
seq9159	15p4.7	(89.7,77.0)
seq9160	2q13.7	(55.2,6.4)
seq9161	6q9.3	(37.7,47.1)
seq9162	7p5.6	(73.4,17.4)
seq9163	20q1.11	(13.2,49.3)
seq9164	14q14.15	(55.7,62.3)
seq9165	12q11.12	(16.6,90.9)
seq9166	15q3.14	(84.8,46.4)
seq9167	13p4.12	(72.2,33.3)
seq9168	16p14.12	(82.3,46.9)
seq9169	20q14.12	(6.4,48.0)
seq9170	2q7.14	(70.8,76.0)
seq9171	6q2.1	(42.1,32.4)
seq9172	21p9.6	(45.7,14.7)
seq9173	5q9.9	(9.8,11.2)
seq9174	21p7.15	(47.3,6.6)
seq9175	17p1.13	(37.0,11.7)
seq9176	4q12.6	(84.1,58.5)
seq9177	20p3.6	(91.6,58.6)
seq9178	18q11.2	(95.7,97.1)
seq9179	2q4.15	(19.8,57.3)
seq9180	14p9.14	(1.9,10.3)
seq9181	22q15.15	(58.4,36.4)
seq9182	17q6.14	(24.0,17.3)
seq9183	3q9.5	(28.3,86.7)
seq9184	20q8.9	(90.1,41.9)
seq9185	8p7.15	(32.1,67.5)
seq9186	16q6.8	(41.0,88.1)
